extent,bandwidth,bufferLoadTime,cpu-value,disk-read,disk-write,fps,latency,memory-value,network-rx,network-tx,networkLatency
1,986.2367600815684,7.8899999998975545,3.200039863586426,0,79468.09375,2715.7249231160413,4872.533225806633,1179095040,2062.60693359375,0,2172.1650000000373
1,722.8946691195521,7.505000000004657,5.000050067901611,0,271978.6875,2670.2269690466937,4872.320333333515,1181020032,7112.18701171875,237382.90625,2961.289999999921
1,1106.0957693990954,7.210000000079162,4.699997901916504,0,272779.3125,2486.4864861735514,4870.6478260871345,1177251968,7310.23291015625,239192.09375,1924.6399999998976
1,984.1198603369639,7.585000000079162,4.499973773956299,0,9830.3369140625,3167.7465797128502,4870.3850000001785,1176326016,6381.81787109375,239504.59375,2161.32500000007
1,887.7114477332536,7.605000000097789,4.701084136962891,0,122882.4375,2493.7655857105733,4871.156200000178,1178993024,7854.951171875,239786.5,2402.1249999998836
1,901.3896739038571,7.189999999944121,4.8988518714904785,0,181047.890625,2538.339502575977,4870.900000000179,1180144000,7572.65185546875,241397.59375,2363.719999999972
1,1349.4063597331099,7.73499999998603,4.90006160736084,0,113865.25,2558.0293697005045,4871.643148148329,1178743040,6742.36376953125,239742.703125,1582.7799999999115
1,1122.7751036597865,7.5100000001257285,3.200019121170044,0,159745.09375,2546.5230163692777,4871.401730769412,1178198016,2176.632080078125,0,1900.7550000000047
1,906.1460213104119,7.6450000000186265,4.19999361038208,0,9830.2392578125,2655.67765541266,4872.100000000181,1181224960,7229.0478515625,238345.59375,2360.6600000000326
1,1097.7842955367855,7.439999999944121,4.999940872192383,0,124524.7578125,2599.8142987493325,4871.876428571604,1179348992,5568.32177734375,238664.296875,1947.0800000000745
1,924.9884285879398,17.255000000004657,4.800048351287842,0,133529.921875,921.6589862067599,2897.079999999958,1174774016,8576.7587890625,238502.203125,2208.7049999998417
1,1011.9529521888303,7.3950000000186265,4.799996852874756,0,172034.359375,2739.726027467166,2636.8649999999907,1176609024,7849.130859375,239784.296875,2014.9199999999255
1,793.0902508674645,7.490000000107102,6.4000396728515625,0,86835.6796875,3174.603173993087,3163.784999999916,1170215040,8425.77734375,315130.90625,2554.7799999999115
1,915.8323190322212,7.444999999948777,4.900022506713867,0,103222.890625,3076.9230762617826,2839.9649999999674,1179426944,9244.0185546875,242778.703125,2207.409999999916
1,1056.7672373328282,7.929999999934807,4.699944972991943,0,273604.5,2564.1025640107177,2545.9599999999627,1178541952,9536.0224609375,359520.1875,1925.5499999999302
1,1269.034747828187,7.434999999939464,4.600024223327637,0,9830.728515625,2439.0243900499922,2175.7750000000233,1170285056,8395.7783203125,280476.3125,1600.1000000000931
1,1106.70418274485,9.434999999997672,4.499998092651367,0,101591.015625,2816.90140813663,2426.6449999999604,1179762944,6367.6279296875,239729,1813.5200000000768
1,1046.6194622649887,7.260000000009313,4.600054740905762,0,122867.125,2985.0746266789506,2493.4599999999627,1180668032,7818.31884765625,238846.09375,1912.6650000000373
1,800.8888481242948,7.2999999999883585,4.900022506713867,0,103222.890625,1265.8227848437025,3111.9799999999814,1179426944,9244.0185546875,242778.703125,2518.344999999914
1,720.5273696869772,7.525000000023283,4.5999436378479,0,274418.8125,2409.638554338538,3428.8899999999558,1179767040,7603.15283203125,241272.90625,2792.475000000035
1,40.23547865856536,22.07999999999811,4.099976062774658,0,126157.109375,2739.7260273988986,2751.6550000000007,1179762944,6024.77685546875,74916.671875,2116.540000000002
1,121.30027231683513,9.950000000000728,4.099976062774658,0,126157.109375,3508.771929826353,3452.465,1179762944,6024.77685546875,74916.671875,2738.640000000003
1,232.68891250691672,7.274999999997817,6.199997425079346,0,10649.6328125,2469.1358024540536,2902.7350000000006,1168892032,10497,323013.40625,2276.980000000003
1,856.7966149758412,7.430000000007567,2.6999285221099854,0,99122.359375,2580.645161309705,3577.428749999992,1172955008,2459.9970703125,0,1601.7300000000105
1,589.7376534593849,9.05000000000291,5.099977493286133,0,17203.2734375,2429.1497975983275,3577.2633333333265,1179312000,7759.72412109375,240659,2238.8750000000146
1,599.5423309670472,12.534999999974389,2.899951457977295,0,276885.625,2752.293578027214,3577.788333333325,1175896064,1647.1070556640625,0,2437.7149999999965
1,711.1518677480464,7.869999999995343,5.100050926208496,0,123695.90625,2512.5628140821104,3577.621999999991,1175293952,7182.02197265625,240071.90625,1995.585000000021
1,753.1037542378278,151.35500000001048,4.999923229217529,0,76184.53125,3100.7751938488186,3578.084999999992,1178587008,6416.51611328125,239563.59375,2038.4499999999825
1,765.9144058457723,20.32500000001164,4.700076103210449,0,170397.59375,2991.4529914946625,3577.938571428564,1178780032,7960.9541015625,238522.09375,1958.460000000021
1,707.1797937395761,7.7850000000034925,4.400012969970703,0,161385.84375,2824.8587571020926,3578.4859999999926,1178631936,8405.884765625,239081.90625,2258.3099999999686
1,612.5738822079453,8.85999999998603,4.40000581741333,0,17203.05859375,2773.497688780781,3578.2766666666594,1178803968,8028.37109375,241494.59375,2558.6900000000314
1,885.218264526024,7.25500000003376,4.9006452560424805,0,123699.4609375,2777.77777788557,2445.079999999987,1180569984,9961.126953125,241360.59375,1863.6449999999895
1,639.2061389051036,7.945000000006985,4.6994147300720215,0,169573.0625,2894.736842136302,3578.736818181811,1180647040,8226.7900390625,239458,2541.2700000000186
1,273.96857680066944,7.860000000000582,4.500059127807617,0,186774.671875,3389.83050857825,3120.9249999999956,1166840064,10942.830078125,355754.90625,2524.105000000003
1,1913.7972804225815,7.740000000107102,4.099955081939697,0,9830.2431640625,3125.000000500222,1650.1999999999534,1174295040,9542.736328125,243398.796875,1069.5650000000605
1,654.5447564754255,7.464999999967404,4.400070667266846,0,161366.40625,5405.40540717417,3737.270000000135,1174737024,8244.7529296875,240446,3133.0500000000466
1,1469.493968319786,7.39000000001397,4.299966335296631,0,103229.859375,2247.191010906741,2012.1650000000373,1174834944,11468.8203125,242450.09375,1398.0350000000326
1,1300.5863537785185,7.5200000000186265,4.499976634979248,0,82740.125,2380.9523807147984,2202.9899999999907,1176792960,7439.45703125,239397.59375,1582.3499999999767
1,821.3880466114831,7.369999999878928,4.499976634979248,0,82740.125,2298.850575032559,3106.920000000042,1176792960,7439.45703125,239397.59375,2509.7299999999814
1,1432.3146619382035,7.375,6.299957275390625,0,9830.349609375,1960.7843136896838,2042.3449999998556,1170285056,9297.7236328125,277056.90625,1441.6149999998743
