extent,bandwidth,bufferLoadTime,cpu-value,disk-read,disk-write,fps,latency,memory-value,network-rx,network-tx,networkLatency
1,772.4996428133876,4.560000000055879,5.09998893737793,0,9830.97265625,364.2987249550807,2782.064999999944,1167699968,7487.35986328125,242264.796875,2773.1650000000373
1,742.9145180850838,8.75,5.09998893737793,0,9830.97265625,344.2340791705274,2895.2449999999953,1167699968,7487.35986328125,242264.796875,2881.4899999999907
1,805.7303080920493,6.880000000004657,4.599996566772461,0,9830.494140625,347.82608695652175,2659.8800000000047,1155260032,13731.8095703125,417198,2642.1199999999953
1,957.02519764449,7.189999999944121,6.0999603271484375,0,13107.32421875,262.4671915972004,2235.1049999999814,1156521984,9233.8056640625,254062.5,2222.515000000014
1,1043.8174838395469,5.029999999911524,4.800018310546875,0,322758.6875,321.02728732038196,2066.7099999999627,1167785984,8080.0048828125,270107.1875,2042.8800000000047
1,904.4104719153319,84.15500000002794,4.800002098083496,0,9830.0732421875,78.30853563026949,2455.0050000000047,1167479040,7275.6650390625,265361.8125,2355.82500000007
1,712.4448225848258,4.939999999944121,5.400025844573975,0,10649.7314453125,282.48587570324196,3014.7449999999953,1167752960,9338.1923828125,244740.296875,2997.8649999999907
1,643.2743021762435,5.864999999990687,4.799983024597168,0,9830.83203125,298.06259314621514,3328.515000000014,1167782016,7488.005859375,239300.203125,3317.5899999999674
1,938.7958476698503,5.964999999967404,5.300048828125,0,555394.5,230.41474653932877,2291.1049999999814,1167597952,7197.48291015625,240420.296875,2278.560000000056
1,1140.5487219848546,5.5,4.800023078918457,0,10649.353515625,257.0694087394367,1890.155000000028,1167609984,8471.65234375,242888.203125,1874.0750000000698
1,675.3326845081098,5.7049999999580905,5.1000494956970215,0,9830.8798828125,325.73289901588424,3036.0849999999627,1167379968,7229.12890625,240556,3025.2149999999674
1,774.565231029755,5.049999999930151,5.1000494956970215,0,9830.8798828125,272.10884353396705,2647.5250000000233,1167379968,7229.12890625,240556,2632.4499999999534
1,874.2728791659599,5.980000000039581,4.899965286254883,0,16385.287109375,285.7142857142857,2328.5250000000233,1167442048,6561.958984375,242892.296875,2317.5500000000466
1,1019.8728294491307,5.744999999995343,4.600005626678467,0,9829.4970703125,248.75621890792192,2004.4349999999977,1167310976,6264.59912109375,238842.90625,1982.225000000035
1,1011.3960991913744,5.494999999995343,5.199969291687012,0,552112.125,278.1641168310909,2034.9150000000373,1167041024,7890.47705078125,239375.203125,2011.9300000000512
1,673.1640408092148,6.644999999960419,5.000015735626221,0,10649.787109375,261.09660574301427,3033.3549999999814,1167110016,6142.080078125,239065.796875,3016.475000000035
1,926.2090466658046,5.580000000016298,4.899972915649414,0,9830.541015625,359.7122302197438,2176.765000000014,1155890944,7964.7099609375,294029,2166.929999999993
1,771.7982491563588,6.4500000000116415,5.999993801116943,0,17203.0390625,381.67938931365546,2609.2200000000303,1156551040,6788.966796875,305380.3125,2593.725000000035
1,1085.2377865103622,7.054999999993015,4.700045585632324,0,322767.59375,248.13895781465683,1886.6450000000186,1167261952,6516.11279296875,238138,1858.5
1,692.8968523180267,5.884999999951106,4.499959945678711,0,9830.326171875,258.7322121610374,2915.030000000028,1167192064,9538.451171875,360010.6875,2903.8300000000163
1,63.517162164178,14.960000000000946,3.6000165939331055,0,330137.40625,257.0694087403984,1364.0900000000001,1160188032,1844.8189697265625,2339.669921875,1340.7399999999998
1,171.11380678112656,16.139999999999418,6.200085639953613,0,23756.849609375,272.8512960435912,1965.2799999999988,1163251968,9103.138671875,312290.3125,1941.385000000002
1,289.00943949423277,15.395000000000437,4.399946689605713,0,9830.01953125,340.1360544219202,1860.8499999999985,1164743040,6901.39208984375,240783.5,1833.255000000001
1,842.0374474892818,6.44999999999709,4.899911403656006,0,9829.8408203125,357.78175313081385,1646.5,1165804032,10362.099609375,412361.6875,1629.804999999993
1,934.7007191675519,6.904999999998836,6.500102996826172,0,23757.640625,312.01248049904996,1454.949999999997,1155538944,7123.9208984375,304222,1412.5899999999965
1,1067.4018757569738,6.4649999999965075,4.800017833709717,0,320335.375,324.1491085892786,1380.4749999999913,1163705984,7214.2568359375,241440.5,1369.2249999999913
1,675.7972080752955,5.705000000001746,5.000063896179199,0,10649.2734375,260.4166666669035,2111.5,1163570944,4344.076171875,236465.703125,2099.9850000000006
1,950.027908538555,5.975000000005821,5.199954509735107,0,10649.2919921875,358.42293906705345,1626.2550000000047,1162632960,5596.26904296875,238982.59375,1615.9150000000081
1,651.4628375190456,5.440000000002328,4.799942970275879,0,18022.171875,269.5417789763333,2313.9100000000035,1163805056,6338.38818359375,237681.40625,2302.529999999999
1,897.6851193470579,5.290000000008149,4.800015449523926,0,553780.875,349.65034964849946,1789.1800000000221,1165660032,6590.501953125,240646.90625,1779.0550000000221
1,862.661353646091,5.070000000006985,5.000074863433838,0,9830.818359375,305.3435114509244,1826.835000000021,1163735040,5564.3291015625,237064.796875,1816.9200000000128
1,672.909804291251,6.005000000004657,4.799931049346924,0,17203.13671875,255.75447570309638,2463.0899999999965,1164713984,7766.7421875,239491.59375,2451.639999999985
1,594.2112831017952,5.584999999991851,4.799931049346924,0,17203.13671875,352.7336860644122,2743.984999999986,1164713984,7766.7421875,239491.59375,2733.7000000000116
1,414.70170135107657,9.409999999996217,4.399991035461426,0,9830.314453125,194.36345966942818,1684.5800000000017,1164849024,6060.16796875,237888.5,1667.5250000000015
1,775.1308198735932,6.125,6.599997043609619,0,9830.173828125,338.9830508528085,2651.4649999999674,1158893952,8347.7314453125,278451.40625,2640.7550000000047
1,955.5928878926312,6.535000000032596,5.599970817565918,0,113872.1484375,232.2880371633221,2174.8150000000605,1153249024,10814.7998046875,336329.40625,2146.0200000000186
1,936.0878856502165,6.59499999997206,5.100006580352783,0,324402.90625,318.9792663467398,2206.6500000000233,1162169984,10002.1396484375,346063.59375,2194.670000000042
1,748.6704683418251,85.92500000004657,4.799976348876953,0,9830.0908203125,359.06642729985515,2846.1699999999255,1161990016,7599.22509765625,241821.203125,2748.8499999999767
1,945.650899668007,5.974999999976717,5.700009346008301,0,27852.91015625,329.4892915944843,2200.04999999993,1161518976,7076.51513671875,239193,2179.939999999944
1,914.2819259220709,5.945000000065193,4.999373435974121,0,9830.5517578125,347.2222222216608,2269.545000000042,1159991040,6750.958984375,239488.40625,2258.435000000056
1,764.9107518289896,4.919999999925494,5.0005669593811035,0,782329.5,333.3333333333333,2715.1149999999907,1162403968,6902.951171875,238112.40625,2703.765000000014
1,918.5376492856692,5.839999999967404,4.700030326843262,0,17203.525390625,287.35632184061853,2265.9749999999767,1160756992,7766.705078125,242206.40625,2255.0449999999255
1,1462.909516322834,5.614999999990687,5.2000250816345215,0,18022.51171875,238.94862604220972,1429.9650000000838,1158562048,7768.12890625,239419.59375,1418.0399999999208
1,897.7374619952473,5.89000000001397,5.2000250816345215,0,18022.51171875,346.02076124400213,2324.4799999999814,1158562048,7768.12890625,239419.59375,2314.155000000028
1,351.267112052993,10.269999999996799,5.19999885559082,0,552160.375,275.1031636862282,2368.6200000000026,1164094976,6858.3828125,243333,2352.2649999999994
1,428.8364214744578,5.869999999995343,4.700008869171143,0,9830.310546875,224.9718785155686,2432.280000000006,1166077952,7830.46923828125,240099.296875,2420.550000000003
1,972.667967134976,5.5350000000034925,4.900094509124756,0,9830.3349609375,318.9792663467398,1819.3799999999756,1164852992,6207.505859375,239057.59375,1801.914999999979
1,590.0466115742912,7.649999999994179,4.59997034072876,0,9830.0302734375,338.40947546677955,3021.0449999999837,1165787008,7697.3759765625,240491.796875,2998.929999999993
1,750.6264156412318,5.754999999975553,5.000010967254639,0,551348,344.8275862075887,2398.3550000000105,1165627008,5944.22021484375,239405.40625,2378.4949999999953
1,1485.4761786887111,5.014999999984866,4.799977779388428,0,17203.23828125,178.89087656540693,1223.8399999999965,1165521024,5750.201171875,237416.796875,1211.9400000000023
1,609.5964646713065,6.279999999998836,6.300032615661621,0,9830.384765625,321.543408361573,2757.4249999999884,1157017984,7871.453125,276187.5,2744.8649999999907
1,841.2248569367953,6.8950000000186265,4.800011157989502,0,10648.73046875,238.37902264561023,2028.2000000000116,1156836992,8248.109375,373249.6875,2015.1150000000198
1,632.7556340738025,8.815000000002328,4.99995756149292,0,319507,234.7417840370455,2726.4400000000023,1164889984,7768.42919921875,306948.1875,2711.3300000000163
1,757.4120225161172,5.915000000008149,4.799984931945801,0,18842.232421875,338.9830508461199,2300.7550000000047,1165275008,7088.9677734375,238658.296875,2290.345000000001
1,928.3578941563657,7.5499999999883585,4.600007057189941,0,10649.0771484375,228.57142857142858,1968.3649999999907,1163457024,5324.8701171875,240119.40625,1954.445000000007
