extent,bandwidth,bufferLoadTime,cpu-value,disk-read,disk-write,fps,latency,memory-value,network-rx,network-tx,networkLatency
1,1671.4426947868978,319.13000000000466,13.500067710876465,0,9830.341796875,980.3921568728156,643.6749999999884,937480192,13782.7900390625,543046.3125,303.6849999999977
1,1741.4904225615564,319.72000000000116,13.500067710876465,0,9830.341796875,1169.5906432605213,630.7599999999948,937480192,13782.7900390625,543046.3125,291.2850000000035
1,1401.284099653358,321.55500000000757,13.20009708404541,0,9830.2431640625,371.74721189558903,703.8450000000012,939610112,15901.5,554496.125,360.2649999999994
1,1750.7666297296475,317.65499999999884,13.20009708404541,0,9830.2431640625,1025.6410256349025,625.9199999999983,939610112,15901.5,554496.125,288.13499999999476
1,1606.802053203035,306.95500000000175,13.20009708404541,0,9830.2431640625,1162.7906976736315,642.570000000007,939610112,15901.5,554496.125,314.6399999999994
1,1669.5391936550382,324.5650000000023,13.20009708404541,0,9830.2431640625,766.283524908316,647.3950000000041,939610112,15901.5,554496.125,302.59999999999127
1,1712.1815708168974,323.4499999999971,13.20009708404541,0,9830.2431640625,1010.1010100956651,639.304999999993,939610112,15901.5,554496.125,295.6849999999977
1,1595.0524783972103,304.8249999999971,13.20009708404541,0,9830.2431640625,1169.5906432804275,641.7149999999965,939610112,15901.5,554496.125,317.18000000000757
1,1416.295882399456,319.54000000000815,13.500067710876465,0,9830.341796875,560.2240896347582,700.8600000000006,937480192,13782.7900390625,543046.3125,357.9350000000122
1,1557.8093344671265,320.7350000000006,13.500067710876465,0,9830.341796875,1176.4705882272376,673.0650000000023,937480192,13782.7900390625,543046.3125,325.20500000000175
1,1665.0288533070384,319.25999999999476,12.199881553649902,0,9830.6298828125,1081.0810810776795,631.0650000000023,939941888,19671.44921875,553309.625,292.61500000000524
1,1632.525296599688,324.2850000000035,12.199881553649902,0,9830.6298828125,1169.5906432704744,640.8799999999974,939941888,19671.44921875,553309.625,297.9349999999977
1,1410.5998457780015,310.0849999999991,13.199993133544922,0,575892.25,1162.7906976736315,674.1500000000015,939307008,16284.580078125,502296.6875,342.9400000000023
1,1737.6545320401183,311.4400000000023,13.199993133544922,0,575892.25,985.2216748774123,608.625,939307008,16284.580078125,502296.6875,277.8549999999959
1,1515.000750065103,311.3700000000026,12.199881553649902,0,9830.6298828125,1030.927835050309,653.7200000000012,939941888,19671.44921875,553309.625,320.4850000000006
1,1668.6992149841485,319.5849999999991,12.199881553649902,0,9830.6298828125,1169.5906432704744,629.9700000000012,939941888,19671.44921875,553309.625,290.4400000000023
1,1605.207080863355,323.0350000000035,13.199993133544922,0,575892.25,1136.3636363670187,642.375,939307008,16284.580078125,502296.6875,298.9150000000009
1,986.8247708381598,324.1949999999997,13.199993133544922,0,575892.25,1194.029850744194,422.4250000000029,939307008,16284.580078125,502296.6875,485.1449999999968
1,1648.365590818956,291.1849999999977,13.199993133544922,0,575892.25,1169.5906432704744,605.4400000000023,939307008,16284.580078125,502296.6875,292.3199999999997
1,1446.041760643155,315.9499999999971,13.199993133544922,0,575892.25,865.8008658017385,683.1800000000003,939307008,16284.580078125,502296.6875,332.52999999999884
1,259.4996495718682,334.53499999999985,3.199950933456421,0,46692.0390625,714.2857142858999,710.1599999999999,939589632,5068.03076171875,5014.3291015625,328.1700000000001
1,506.6449593713167,314.71500000000015,3.199950933456421,0,46692.0390625,806.4516129033677,607.6800000000003,939589632,5068.03076171875,5014.3291015625,268.21500000000015
1,573.1337079016598,316.8900000000003,3.199950933456421,0,46692.0390625,1156.069364160926,645.2200000000003,939589632,5068.03076171875,5014.3291015625,307.90999999999985
1,1217.9433424124916,314.90499999999884,11.500186920166016,0,79466.390625,1015.2284263953392,623.4849999999988,929669120,14445.3603515625,458813.6875,286.9499999999989
1,1244.339976821243,312.4250000000011,11.500186920166016,0,79466.390625,1156.0693641621415,609.6900000000005,929669120,14445.3603515625,458813.6875,272.28000000000065
1,1421.2741839915564,326.5499999999993,11.500186920166016,0,79466.390625,643.0868167201369,611.6399999999994,929669120,14445.3603515625,458813.6875,258.77999999999884
1,1178.036282518118,312.2900000000009,11.500186920166016,0,79466.390625,554.0166204985256,639.6399999999994,929669120,14445.3603515625,458813.6875,304.83000000000175
1,1301.0166962726028,315.505000000001,11.500186920166016,0,79466.390625,892.8571428550547,630.0600000000013,929669120,14445.3603515625,458813.6875,294.3250000000007
1,1420.6968150019727,308.3949999999968,11.500186920166016,0,79466.390625,632.9113924043638,596.1399999999994,929669120,14445.3603515625,458813.6875,264.4500000000007
1,1400.8435663196744,316.3149999999987,14.199957847595215,0,633245.75,790.5138339924586,617.4150000000009,939622400,18220.560546875,554631.375,282.41999999999825
1,1233.6933227764582,314.9649999999965,11.500186920166016,0,79466.390625,985.2216748774123,649.8000000000029,929669120,14445.3603515625,458813.6875,315.75
1,1545.8139562728072,324.71500000000015,14.199957847595215,0,633245.75,609.7560975611921,607.3600000000006,939622400,18220.560546875,554631.375,262.9350000000013
1,1561.5401080404795,327.3050000000003,14.199957847595215,0,633245.75,1176.4705882373082,605.2199999999975,939622400,18220.560546875,554631.375,256.9549999999981
1,814.807723218938,325.53000000000065,3.199950933456421,0,46692.0390625,621.1180124221357,604.1499999999996,939589632,5068.03076171875,5014.3291015625,257.33500000000004
1,1828.0763336407094,323.47499999999127,12.199881553649902,0,9830.6298828125,966.1835748759668,610.7799999999988,939941888,19671.44921875,553309.625,266.95500000000175
1,1547.6445546975974,311.125,12.199881553649902,0,9830.6298828125,913.2420091314492,651.5850000000064,939941888,19671.44921875,553309.625,315.83000000000175
